ITTER107;Territorio;TIPO_DATO7;Indicatori;CORREZ;Correzione;TIPO_ALLOGGIO2;Tipologia di esercizio;ATECO_2007;Ateco 2007;ISO;Paese di residenza dei clienti;TIME;Seleziona periodo;Value;Flag Codes;Flags
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-01;gen-15;70066;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-02;feb-15;81773;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-03;mar-15;69714;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-04;apr-15;64937;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-05;mag-15;84978;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-06;giu-15;111341;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-07;lug-15;159542;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-08;ago-15;206651;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-09;set-15;74461;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-10;ott-15;54701;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-11;nov-15;42062;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2015-12;dic-15;68766;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2016-01;gen-16;70698;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2016-02;feb-16;77969;;
