Territorio;Indicatori;Tipologia di esercizio;Paese di residenza dei clienti;TIME;Value;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2016;10809;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2017;8874;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2017;9666;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2017;10635;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2017;12593;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2017;15092;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2017;14348;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2017;19205;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2017;16118;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2017;13872;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2017;13815;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2017;13130;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2017;10596;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2018;9362;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2018;9775;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2018;11488;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2018;11168;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2018;12945;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2018;12978;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2018;17113;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2018;14286;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2018;13990;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2018;12774;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2018;9792;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2018;10525;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2019;8746;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2019;9902;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2019;11830;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2019;13335;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2019;12652;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2019;15289;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2019;18202;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2019;16886;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2019;15426;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2019;15493;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2019;11345;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2019;11035;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2020;8851;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2020;7837;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2020;1224;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2020;150;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2020;544;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2020;2177;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2020;4649;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2020;6464;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2020;5301;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2020;4240;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2020;2010;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2020;2085;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2021;1947;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2021;2290;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2021;2149;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2021;2053;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2021;3902;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2021;5687;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2021;9290;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2021;9393;;;;;
