Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
Abruzzo,HOTELLIKE,Italia,2008-01-01,88624.0,257703.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-01-01,5346.0,19124.0
Abruzzo,OTHER,Italia,2008-01-01,5701.0,20039.0
Abruzzo,OTHER,Paesi esteri,2008-01-01,202.0,2600.0
Chieti,HOTELLIKE,Italia,2008-01-01,13790.0,37455.0
Chieti,HOTELLIKE,Paesi esteri,2008-01-01,1218.0,4128.0
Chieti,OTHER,Italia,2008-01-01,839.0,4391.0
Chieti,OTHER,Paesi esteri,2008-01-01,77.0,1302.0
L'Aquila,HOTELLIKE,Italia,2008-01-01,49457.0,153008.0
L'Aquila,HOTELLIKE,Paesi esteri,2008-01-01,1202.0,3745.0
L'Aquila,OTHER,Italia,2008-01-01,4366.0,13855.0
L'Aquila,OTHER,Paesi esteri,2008-01-01,85.0,486.0
Pescara,HOTELLIKE,Italia,2008-01-01,15051.0,35058.0
Pescara,HOTELLIKE,Paesi esteri,2008-01-01,1975.0,7002.0
Pescara,OTHER,Italia,2008-01-01,310.0,1185.0
Pescara,OTHER,Paesi esteri,2008-01-01,27.0,733.0
Teramo,HOTELLIKE,Italia,2008-01-01,10326.0,32182.0
Teramo,HOTELLIKE,Paesi esteri,2008-01-01,951.0,4249.0
Teramo,OTHER,Italia,2008-01-01,186.0,608.0
Teramo,OTHER,Paesi esteri,2008-01-01,13.0,79.0
Abruzzo,HOTELLIKE,Italia,2008-02-01,100147.0,269014.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-02-01,6621.0,24546.0
Abruzzo,OTHER,Italia,2008-02-01,5870.0,18133.0
Abruzzo,OTHER,Paesi esteri,2008-02-01,624.0,3735.0
Chieti,HOTELLIKE,Italia,2008-02-01,14343.0,37685.0
Chieti,HOTELLIKE,Paesi esteri,2008-02-01,1417.0,5090.0
Chieti,OTHER,Italia,2008-02-01,877.0,4437.0
Chieti,OTHER,Paesi esteri,2008-02-01,38.0,1079.0
